Area,AspectRation,Extent,Solidity,roundness,ShapeFactor2,ShapeFactor4,Class
28395.0,1.1971914241160242,0.7639225181598063,0.9888559986069998,0.9580271262501276,0.00314728916733569,0.9987238890131684,SEKER
28734.0,1.0973564606810586,0.7839681327076286,0.9849856026326614,0.8870336365528869,0.0025406487048881547,0.9984303314497069,SEKER
29380.0,1.209712656324364,0.7781132475237036,0.9895587739979791,0.9478494730164112,0.003047733217213173,0.9990661373632715,SEKER
30008.0,1.153638059321893,0.7826812728221179,0.9909358157765801,0.9039363743173375,0.003214562079390055,0.99419884850682,SEKER
30140.0,1.0607980199097815,0.7730980351921203,0.9908932504849262,0.9848770693509095,0.0025406487048881547,0.9991660589607774,SEKER
30279.0,1.1710668489886833,0.775688484693224,0.9895098039215686,0.9438517832505929,0.0031527787389953013,0.9992357810603374,SEKER
30477.0,1.146768336352096,0.7624015009380863,0.9840813690668389,0.9516968335176573,0.003242016245376514,0.9990487356266151,SEKER
30519.0,1.16559053476242,0.7706818181818181,0.9893668752228741,0.9671092439901503,0.003158285146362523,0.998344559636264,SEKER
30685.0,1.1658521083280848,0.7715614785013829,0.9884357685865224,0.9542398075022369,0.0031515495188116868,0.9989529809282945,SEKER
30834.0,1.2008339004244408,0.7836828059473885,0.9908097686375321,0.9702782301205947,0.0030080398121198064,0.9990611424380447,SEKER
30917.0,1.1578846178889468,0.7708052854649713,0.9883951406649616,0.9462581799326395,0.0031742202947999208,0.9993843888746166,SEKER
31091.0,1.1176646215381034,0.7863773174494777,0.9883336512174964,0.9581728356299639,0.003333983668368092,0.9986397105878477,SEKER
31107.0,1.1604552946345124,0.7610461418016343,0.989943671832734,0.9525817569197089,0.003145388256978018,0.9975639589348673,SEKER
31158.0,1.1788267965768742,0.7987592288761279,0.9893941318430077,0.9481190040168371,0.0030710517082392676,0.9978717512215809,SEKER
31158.0,1.1328790092375651,0.7813134732566012,0.9899599669568533,0.9526231013453076,0.0032670098784518364,0.9993488982933998,SEKER
31178.0,1.1415820180492635,0.7641104820723966,0.9891497461928934,0.9658995960258264,0.003227429112568851,0.9990896583252051,SEKER
